P;PID;FLC;FLC3
1;39.18;0;0
1;1.18;3.8;1.70131
1;1.18;3.8;1.70131
0.999769;0.82485;3.8;1.70131
0.999107;0.498022;3.8;1.70131
0.997846;0.198232;3.8;1.70131
0.995842;-0.0738826;3.8;1.70131
0.992978;-0.318059;3.8;1.70131
0.989155;-0.534368;3.8;1.70131
0.984294;-0.723179;3.8;1.70131
0.978334;-0.885125;3.8;1.70131
0.971226;-1.02108;3.8;1.70131
0.962938;-1.1321;3.8;1.70131
0.953447;-1.21943;3.19503;1.70131
0.942743;-1.28445;1.31833;1.70131
0.930825;-1.32864;-0.473402;1.70131
0.917698;-1.35356;-1.28181;1.70131
0.903378;-1.36086;-1.71078;0.103523
0.887886;-1.35217;-2.74774;-0.379117
0.871249;-1.32919;-3.8;-0.497365
0.853499;-1.29356;-3.8;-0.549937
0.834674;-1.24694;-3.8;-0.639439
0.814815;-1.19092;-3.8;-0.763978
0.793967;-1.12705;-3.50904;-0.851828
0.772177;-1.05681;-2.53834;-0.90673
0.749496;-0.981597;-1.7128;-0.897555
0.725978;-0.90274;-1.3438;-0.863188
0.701675;-0.821468;-1.11601;-0.80553
0.676646;-0.738918;-0.824902;-0.726002
0.650946;-0.656128;-0.650683;-0.63324
0.624636;-0.574037;-0.633333;-0.5305
0.597774;-0.493486;-0.586569;-0.448283
0.57042;-0.415213;-0.457092;-0.397783
0.542634;-0.339861;-0.296592;-0.279516
0.514476;-0.267975;-0.247049;-0.120504
0.486007;-0.200011;-0.190833;0.015525
0.457285;-0.136336;-0.130942;0.0639146
0.42837;-0.0772316;-0.0698877;0.101622
0.39932;-0.0229046;-0.0102203;0.14144
0.370193;0.0265131;0.0714212;0.185306
0.341046;0.0709562;0.174502;0.226407
0.311935;0.11042;0.228974;0.263762
0.282914;0.144957;0.279279;0.296778
0.254037;0.174666;0.324049;0.325076
0.225355;0.199692;0.362818;0.335183
0.196919;0.220216;0.395518;0.334455
0.168778;0.23645;0.422368;0.329317
0.140979;0.248634;0.443758;0.320542
0.113568;0.257028;0.46017;0.308679
0.0865892;0.261909;0.472111;0.294304
0.0600841;0.263565;0.480077;0.278367
0.0340931;0.262291;0.484526;0.26072
0.00865462;0.258386;0.485868;0.24238
-0.0161949;0.252148;0.47669;0.223213
-0.0404211;0.243872;0.462444;0.203784
-0.0639915;0.233846;0.44378;0.184427
-0.0868757;0.22235;0.420241;0.165095
-0.109045;0.20965;0.391255;0.14617
-0.130474;0.196003;0.356127;0.127881
-0.151137;0.181649;0.314046;0.110356
-0.171012;0.166813;0.264115;0.0935033
-0.19008;0.151701;0.215991;0.0784583
-0.208322;0.136506;0.177515;0.0642418
-0.225722;0.121399;0.144461;0.0507018
-0.242266;0.106536;0.115986;0.0377306
-0.257942;0.0920547;0.0913198;0.0256442
-0.272739;0.0780733;0.0698208;0.014297
-0.28665;0.0646946;0.0509639;0.00352105
-0.299668;0.0520045;0.0343232;-0.00633894
-0.311789;0.0400726;0.0195539;-0.0157523
-0.323011;0.0289535;0.00637741;-0.0246082
-0.333332;0.0186877;-0.005527;-0.0326021
-0.342754;0.00930225;-0.016916;-0.0400158
-0.35128;0.000811891;-0.0279105;-0.0467976
-0.358915;-0.00677981;-0.0385017;-0.0526511
-0.365663;-0.0134795;-0.0486732;-0.0578304
-0.371534;-0.0193029;-0.0583997;-0.0622453
-0.376537;-0.0242738;-0.0676481;-0.0654475
-0.380681;-0.0284231;-0.0763773;-0.0680066
-0.38398;-0.0317874;-0.0845392;-0.0700746
-0.386447;-0.0344084;-0.0920792;-0.0709078
-0.388098;-0.0363321;-0.0989373;-0.0710971
-0.388947;-0.0376071;-0.10505;-0.070674
-0.389012;-0.0382848;-0.11035;-0.0697038
-0.388313;-0.0384178;-0.114773;-0.0680329
-0.386867;-0.0380596;-0.118253;-0.0659095
-0.384697;-0.0372637;-0.120732;-0.0633822
-0.381823;-0.0360833;-0.12216;-0.0607309
-0.378267;-0.0345703;-0.123602;-0.0575624
-0.374053;-0.0327755;-0.124272;-0.0541771
-0.369205;-0.0307474;-0.123811;-0.0506207
-0.363747;-0.0285325;-0.122324;-0.0471481
-0.357705;-0.0261746;-0.119903;-0.0437856
-0.351103;-0.023715;-0.116627;-0.0403665
-0.343969;-0.0211917;-0.112573;-0.0369245
-0.336328;-0.0186399;-0.107807;-0.0316157
-0.328208;-0.0160915;-0.100176;-0.0266139
-0.319637;-0.0135752;-0.0869038;-0.0222273
-0.310641;-0.0111165;-0.0728347;-0.0181788
-0.301249;-0.00873782;-0.0580818;-0.0144692
-0.291488;-0.00645843;-0.0428605;-0.0110933
-0.281386;-0.00429456;-0.033709;-0.00804262
-0.270971;-0.00225958;-0.0252519;-0.00816949
-0.26027;-0.000364091;-0.0174903;-0.00834771
-0.249313;0.00138389;-0.0103856;-0.0083928
-0.238126;0.00297877;-0.00389961;-0.00713119
-0.226736;0.00441724;0.00201747;-0.00526011
-0.215172;0.00569803;0.00753734;-0.00350593
-0.203459;0.00682175;0.0126941;-0.00186563
-0.191624;0.00779071;0.0174762;-0.000340199
-0.179693;0.0086087;0.021873;0.00107278
-0.167693;0.00928082;0.0258742;0.00237879
-0.155647;0.0098133;0.0294704;0.00357736
-0.143582;0.0102133;0.0326534;0.00466848
-0.13152;0.0104887;0.0354166;0.00565283
-0.119486;0.0106482;0.0377555;0.0065317
-0.107503;0.0107006;0.0396678;0.00730696
-0.0955926;0.0106553;0.041154;0.00798104
-0.0837768;0.0105218;0.0422176;0.00855682
-0.0720765;0.0103096;0.0461963;0.00903765
-0.060512;0.0100282;0.0503992;0.00942726
-0.0491027;0.00968684;0.0538952;0.00973666
-0.0378673;0.00929468;0.0566792;0.0103751
-0.0268238;0.00886045;0.0587434;0.0109973
-0.0159893;0.00839252;0.0600859;0.0115895
-0.00538019;0.00789883;0.06071;0.0121411
0.00498816;0.00738684;0.0606244;0.0126595
0.0151011;0.00686348;0.0598425;0.0131188
0.0249447;0.00633512;0.0517293;0.0135142
0.0345062;0.00580761;0.0419358;0.0138432
0.0437734;0.0052862;0.0316286;0.0141174
0.0527351;0.00477558;0.0210513;0.0143255
0.0613809;0.00427986;0.0147544;0.0129756
0.0697015;0.00380261;0.0110358;0.0114541
0.077688;0.00334684;0.00752394;0.00994746
0.0853329;0.00291504;0.00424663;0.0084974
0.0926292;0.00250922;0.00120555;0.00714116
0.0995707;0.0021309;-0.0016076;0.00591678
0.106152;0.00178116;-0.00422582;0.00495764
0.11237;0.00146067;-0.00664604;0.00436579
0.118219;0.00116972;-0.0088623;0.0037891
0.123698;0.000908266;-0.01087;0.00323222
0.128804;0.000675941;-0.0126657;0.0026971
