P;PID;FLC;FLC3
1;1;1;1
1;1;1;1
1;1;1;1
0.999769;0.990935;1;1
0.999107;0.973802;0.999121;0.999606
0.997846;0.949533;0.996606;0.998481
0.995842;0.919049;0.991814;0.996335
0.992978;0.883252;0.984201;0.992927
0.989155;0.843012;0.973316;0.988053
0.984294;0.799164;0.958784;0.981547
0.978334;0.752504;0.940303;0.973273
0.971226;0.703779;0.917632;0.963123
0.962938;0.653688;0.890582;0.951012
0.953447;0.602876;0.859017;0.93688
0.942743;0.551935;0.822837;0.920682
0.930825;0.501401;0.781984;0.902392
0.917698;0.451752;0.736568;0.881996
0.903378;0.403413;0.687142;0.859493
0.887886;0.356751;0.63462;0.834895
0.871249;0.312081;0.579991;0.80822
0.853499;0.269666;0.524218;0.779865
0.834674;0.229718;0.468377;0.750292
0.814815;0.192403;0.413637;0.719935
0.793967;0.157841;0.361003;0.689181
0.772177;0.126114;0.311327;0.658388
0.749496;0.0972618;0.265329;0.627893
0.725978;0.0712912;0.223543;0.598005
0.701675;0.0481771;0.186184;0.568999
0.676646;0.0278661;0.153221;0.541106
0.650946;0.0102799;0.124521;0.514511
0.624636;-0.00468152;0.0998941;0.489355
0.597774;-0.0171364;0.079089;0.465732
0.57042;-0.0272183;0.0618299;0.443693
0.542634;-0.0350734;0.0478573;0.423253
0.514476;-0.0408572;0.0369207;0.404395
0.486007;-0.0447321;0.0287589;0.387086
0.457285;-0.0468651;0.0230961;0.371262
0.42837;-0.0474253;0.0196707;0.356825
0.39932;-0.046582;0.0182333;0.343651
0.370193;-0.0445029;0.0185451;0.331614
0.341046;-0.041352;0.0203777;0.320593
0.311935;-0.0372888;0.0235131;0.31047
0.282914;-0.0324664;0.0277378;0.301127
0.254037;-0.0270311;0.0328391;0.292449
0.225355;-0.0211206;0.0386163;0.284328
0.196919;-0.0148644;0.0448818;0.276656
0.168778;-0.00838221;0.0514611;0.269335
0.140979;-0.0017843;0.0581936;0.262274
0.113568;0.00482915;0.0649324;0.255395
0.0865892;0.011368;0.0715448;0.24863
0.0600841;0.0177522;0.0779124;0.241924
0.0340931;0.0239116;0.0839303;0.235228
0.00865462;0.0297858;0.0895076;0.228508
-0.0161949;0.0353239;0.0945659;0.221736
-0.0404211;0.0404839;0.0990397;0.214892
-0.0639915;0.0452327;0.102875;0.207963
-0.0868757;0.049545;0.106031;0.200945
-0.109045;0.0534033;0.108478;0.193838
-0.130474;0.0567971;0.110199;0.186646
-0.151137;0.0597223;0.11119;0.17938
-0.171012;0.0621807;0.111456;0.172051
-0.19008;0.0641794;0.111014;0.164676
-0.208322;0.0657301;0.109891;0.157271
-0.225722;0.0668485;0.108126;0.149858
-0.242266;0.0675538;0.105768;0.142454
-0.257942;0.0678683;0.102868;0.135082
-0.272739;0.0678165;0.0994835;0.127762
-0.28665;0.0674248;0.0956715;0.120514
-0.299668;0.0667209;0.0914893;0.113359
-0.311789;0.0657337;0.0869929;0.106316
-0.323011;0.0644925;0.0822368;0.0994047
-0.333332;0.0630266;0.0772728;0.0926418
-0.342754;0.0613653;0.07215;0.0860446
-0.35128;0.0595374;0.0669147;0.0796287
-0.358915;0.0575707;0.0616099;0.0734085
-0.365663;0.0554923;0.0562758;0.0673973
-0.371534;0.0533278;0.0509495;0.0616068
-0.376537;0.0511017;0.0456655;0.0560477
-0.380681;0.0488366;0.0404558;0.0507289
-0.38398;0.046554;0.0353494;0.0456581
-0.386447;0.0442731;0.0303734;0.0408414
-0.388098;0.0420119;0.0255523;0.0362833
-0.388947;0.0397863;0.0209081;0.031987
-0.389012;0.0376103;0.016461;0.027954
-0.388313;0.0354965;0.0122287;0.0241844
-0.386867;0.0334555;0.00822699;0.0206769
-0.384697;0.0314963;0.0044694;0.0174287
-0.381823;0.0296262;0.000967462;0.0144359
-0.378267;0.0278511;-0.00226939;0.0116933
-0.374053;0.0261752;-0.00523378;0.00919441
-0.369205;0.0246016;-0.00792038;0.00693206
-0.363747;0.0231319;-0.0103257;0.00489805
-0.357705;0.0217666;-0.0124478;0.00308338
-0.351103;0.0205052;-0.0142869;0.00147842
-0.343969;0.0193463;-0.0158445;7.29749e-005
-0.336328;0.0182873;-0.0171243;-0.00114347
-0.328208;0.0173253;-0.0181312;-0.00218173
-0.319637;0.0164565;-0.0188722;-0.0030528
-0.310641;0.0156766;-0.0193553;-0.00376822
-0.301249;0.0149809;-0.0195907;-0.00433985
-0.291488;0.0143644;-0.0195915;-0.00477966
-0.281386;0.0138216;-0.0193733;-0.00509954
-0.270971;0.0133471;-0.0189543;-0.00531121
-0.26027;0.0129353;-0.0183543;-0.00542606
-0.249313;0.0125805;-0.0175938;-0.00545511
-0.238126;0.0122771;-0.0166929;-0.00540824
-0.226736;0.0120195;-0.0156717;-0.0052943
-0.215172;0.0118024;-0.0145495;-0.00512123
-0.203459;0.0116206;-0.0133451;-0.00489646
-0.191624;0.0114689;-0.0120764;-0.00462708
-0.179693;0.0113426;-0.0107603;-0.00431981
-0.167693;0.0112374;-0.00941312;-0.00398103
-0.155647;0.0111489;-0.00804984;-0.00361672
-0.143582;0.0110732;-0.00668463;-0.00323252
-0.13152;0.0110069;-0.00533058;-0.00283364
-0.119486;0.0109466;-0.00399976;-0.00242497
-0.107503;0.0108895;-0.00270317;-0.00201098
-0.0955926;0.010833;-0.00145077;-0.0015958
-0.0837768;0.0107747;-0.000251432;-0.00118318
-0.0720765;0.0107128;0.000887;-0.000776536
-0.060512;0.0106456;0.00195774;-0.000378915
-0.0491027;0.0105716;0.00295505;6.96021e-006
