P;PID;FLC;FLC3
0;0;0;0
0;0;0;0
0.00023136;0.00906468;0;0
0.000893052;0.0261981;0.000879168;0.000393614
0.00215424;0.0504671;0.0033936;0.00151936
0.00415752;0.0809505;0.00818611;0.00366502
0.00702181;0.116748;0.0157988;0.00707331
0.0108449;0.156988;0.0266843;0.0119469
0.0157057;0.200836;0.0412159;0.0184528
0.0216664;0.247496;0.0596968;0.026727
0.028774;0.296221;0.0823685;0.0368774
0.0370622;0.346312;0.109418;0.0489876
0.0465527;0.397124;0.140983;0.06312
0.0572566;0.448065;0.177163;0.0793179
0.0691754;0.498599;0.218016;0.0976084
0.0823021;0.548248;0.263432;0.118004
0.0966221;0.596587;0.312858;0.140507
0.112114;0.643249;0.36538;0.165105
0.128751;0.687919;0.420009;0.19178
0.146501;0.730334;0.475782;0.220135
0.165326;0.770282;0.531623;0.249708
0.185185;0.807597;0.586363;0.280065
0.206033;0.842159;0.638997;0.310819
0.227823;0.873886;0.688673;0.341612
0.250504;0.902738;0.734671;0.372107
0.274022;0.928709;0.776457;0.401995
0.298325;0.951823;0.813816;0.431001
0.323354;0.972134;0.846779;0.458894
0.349054;0.98972;0.875479;0.485489
0.375364;1.00468;0.900106;0.510645
0.402226;1.01714;0.920911;0.534268
0.42958;1.02722;0.93817;0.556307
0.457366;1.03507;0.952143;0.576747
0.485524;1.04086;0.963079;0.595605
0.513993;1.04473;0.971241;0.612914
0.542715;1.04687;0.976904;0.628738
0.57163;1.04743;0.980329;0.643175
0.60068;1.04658;0.981767;0.656349
0.629807;1.0445;0.981455;0.668386
0.658954;1.04135;0.979622;0.679407
0.688065;1.03729;0.976487;0.68953
0.717086;1.03247;0.972262;0.698873
0.745963;1.02703;0.967161;0.707551
0.774645;1.02112;0.961384;0.715672
0.803081;1.01486;0.955118;0.723344
0.831222;1.00838;0.948539;0.730665
0.859021;1.00178;0.941806;0.737726
0.886432;0.995171;0.935068;0.744605
0.913411;0.988632;0.928455;0.75137
0.939916;0.982248;0.922088;0.758076
0.965907;0.976088;0.91607;0.764772
0.991345;0.970214;0.910492;0.771492
1.01619;0.964676;0.905434;0.778264
1.04042;0.959516;0.90096;0.785108
1.06399;0.954767;0.897125;0.792037
1.08688;0.950455;0.893969;0.799055
1.10905;0.946597;0.891522;0.806162
1.13047;0.943203;0.889801;0.813354
1.15114;0.940278;0.88881;0.82062
1.17101;0.937819;0.888544;0.827949
