Plaus_1; Plaus_2; Plaus_3; Belief_1; Belief_2; Belief_3
0; 0; 0; 0; 0; 0; 
1.9; 1.9; 1.9; 1.9; 1.9; 1.9; 
1.9; 1.9; 1.9; 1.9; 1.9; 1.9; 
1.9; 1.9; 1.9; 1.9; 1.9; 1.9; 
1.88952; 1.88952; 1.89199; 1.88466; 1.88452; 1.88927; 
1.86955; 1.86955; 1.87654; 1.85609; 1.85569; 1.86883; 
1.84065; 1.84064; 1.85376; 1.81617; 1.81546; 1.83931; 
1.80306; 1.80304; 1.82335; 1.76671; 1.76569; 1.80101; 
1.75679; 1.75677; 1.78464; 1.70941; 1.70811; 1.75405; 
1.70168; 1.70166; 1.73656; 1.64583; 1.64437; 1.69833; 
1.63742; 1.6374; 1.67754; 1.57748; 1.57597; 1.63368; 
1.56357; 1.56355; 1.60546; 1.50571; 1.50432; 1.5598; 
1.47965; 1.47963; 1.51738; 1.43181; 1.43071; 1.47639; 
1.38513; 1.38512; 1.40934; 1.35692; 1.35631; 1.38313; 
1.27956; 1.27956; 1.27595; 1.28212; 1.28215; 1.2798; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 1.26667; 
0; 0; 0; 1.26667; 1.26667; 0; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-1.26667; -1.26667; -1.26667; -1.26667; -1.26667; -1.26667; 
-0.902087; -0.901606; -0.937354; -0.99537; -0.96706; -0.495896; 
-0.903229; -0.902766; -0.895344; -0.903913; -0.874532; -0.502778; 
-0.896; -0.895526; -0.870609; -0.869388; -0.839545; -0.49105; 
-0.888752; -0.888267; -0.854631; -0.847041; -0.817113; -0.482108; 
-0.87061; -0.870132; -0.833691; -0.831352; -0.801233; -0.474685; 
-0.809354; -0.80893; -0.779471; -0.787859; -0.761289; -0.467265; 
-0.723386; -0.723043; -0.704001; -0.727302; -0.705452; -0.455083; 
-0.595452; -0.595261; -0.594135; -0.64144; -0.626721; -0.436758; 
-0.442769; -0.430281; -0.422776; -0.515678; -0.5099; -0.410339; 
-0.343236; -0.319678; -0.301403; -0.409497; -0.348014; -0.223258; 
-0.331828; -0.311425; -0.299612; -0.380119; -0.316989; -0.164005; 
-0.314232; -0.29711; -0.292071; -0.361435; -0.313341; -0.187525; 
-0.290044; -0.276345; -0.278536; -0.33666; -0.304063; -0.208727; 
-0.258384; -0.248159; -0.258071; -0.305536; -0.288585; -0.227267; 
-0.218602; -0.211794; -0.229985; -0.267993; -0.263559; -0.211602; 
-0.17046; -0.166891; -0.194012; -0.217791; -0.216574; -0.182228; 
-0.11434; -0.113716; -0.145357; -0.167261; -0.171548; -0.156878; 
-0.0514282; -0.0533596; -0.0927664; -0.117328; -0.128068; -0.134687; 
0.0167218; 0.0123929; -0.039796; -0.0679202; -0.0860159; -0.115108; 
0.0686873; 0.0756085; 0.00832188; -0.0234778; -0.0466794; -0.0977117; 
0.112387; 0.127998; 0.0489087; 0.00548196; -0.00993641; -0.0821596; 
0.149761; 0.17109; 0.0875964; 0.0337607; 0.0208436; -0.0703613; 
0.181109; 0.205946; 0.122297; 0.0624556; 0.050311; -0.0597221; 
0.206869; 0.233607; 0.152479; 0.0917486; 0.0788024; -0.0491056; 
0.227532; 0.255025; 0.178197; 0.115627; 0.106473; -0.0375509; 
0.243603; 0.271041; 0.199625; 0.1347; 0.13307; -0.0264136; 
0.255575; 0.282379; 0.217032; 0.150973; 0.154209; -0.0167972; 
0.263905; 0.289657; 0.230733; 0.164493; 0.171984; -0.00842822; 
0.269014; 0.293393; 0.241069; 0.175383; 0.186536; -0.00110054; 
0.27128; 0.294021; 0.248376; 0.183811; 0.198076; 0.00555972; 
0.271037; 0.291901; 0.252975; 0.189972; 0.206842; 0.0119066; 
0.268577; 0.287333; 0.255164; 0.194074; 0.213086; 0.0179359; 
0.264158; 0.281657; 0.255212; 0.196329; 0.217056; 0.0236418; 
0.262898; 0.278211; 0.25336; 0.196946; 0.21899; 0.0290162; 
0.260469; 0.272847; 0.249819; 0.196122; 0.219112; 0.0340496; 
0.256476; 0.265529; 0.24858; 0.194041; 0.217628; 0.0387313; 
0.250889; 0.256168; 0.247225; 0.190873; 0.214721; 0.0430499; 
0.243663; 0.244651; 0.244424; 0.190001; 0.210932; 0.0469942; 
0.234746; 0.230848; 0.240158; 0.189595; 0.210209; 0.0505533; 
0.22408; 0.214612; 0.23439; 0.188271; 0.208282; 0.0537174; 
0.211603; 0.178594; 0.227078; 0.186037; 0.205166; 0.0593026; 
0.17889; 0.143967; 0.218174; 0.182898; 0.200853; 0.0656007; 
0.144224; 0.112455; 0.202474; 0.17886; 0.195334; 0.0711101; 
0.112838; 0.0839557; 0.173659; 0.173934; 0.1886; 0.0758566; 
0.0846047; 0.0582707; 0.146675; 0.168134; 0.180646; 0.0798626; 
0.0593453; 0.0351474; 0.121423; 0.161482; 0.167039; 0.0831545; 
