Plaus_1; Plaus_2; Plaus_3; Belief_1; Belief_2; Belief_3
1; 1; 1; 1; 1; 1; 
1; 1; 1; 1; 1; 1; 
1; 1; 1; 1; 1; 1; 
0.99956; 0.99956; 0.99956; 0.99956; 0.99956; 0.99956; 
0.998303; 0.998303; 0.998303; 0.998303; 0.998303; 0.998303; 
0.995907; 0.995907; 0.995907; 0.995907; 0.995907; 0.995907; 
0.992103; 0.992103; 0.992102; 0.992104; 0.992104; 0.992103; 
0.986672; 0.986672; 0.986669; 0.986678; 0.986678; 0.986672; 
0.979439; 0.979439; 0.979428; 0.97946; 0.97946; 0.97944; 
0.970273; 0.970273; 0.970246; 0.970324; 0.970326; 0.970275; 
0.959079; 0.959079; 0.959021; 0.959186; 0.959189; 0.959085; 
0.9458; 0.9458; 0.945692; 0.945997; 0.946002; 0.945811; 
0.930413; 0.930413; 0.930228; 0.930741; 0.93075; 0.930431; 
0.912923; 0.912923; 0.91263; 0.913433; 0.913447; 0.912952; 
0.893366; 0.893366; 0.892929; 0.894112; 0.894132; 0.893409; 
0.871807; 0.871807; 0.871189; 0.872838; 0.872866; 0.871867; 
0.848333; 0.848333; 0.847506; 0.849692; 0.849729; 0.848413; 
0.823034; 0.823035; 0.821975; 0.824755; 0.824802; 0.823136; 
0.795996; 0.795997; 0.794684; 0.798108; 0.798164; 0.796122; 
0.767302; 0.767302; 0.765722; 0.769825; 0.769892; 0.767452; 
0.73703; 0.737031; 0.735171; 0.739983; 0.740061; 0.737207; 
0.705258; 0.705259; 0.70311; 0.708652; 0.708742; 0.705462; 
0.672059; 0.67206; 0.669615; 0.675903; 0.676004; 0.672291; 
0.637502; 0.637504; 0.63476; 0.641801; 0.641914; 0.637762; 
0.601655; 0.601657; 0.598612; 0.606411; 0.606536; 0.601943; 
0.564583; 0.564585; 0.561239; 0.569795; 0.569932; 0.564899; 
0.526346; 0.526348; 0.522703; 0.532013; 0.53216; 0.52669; 
0.487297; 0.4873; 0.483357; 0.49312; 0.493279; 0.487669; 
0.448037; 0.44804; 0.443804; 0.453758; 0.453928; 0.448436; 
0.409086; 0.409088; 0.404564; 0.414482; 0.414664; 0.409512; 
0.370889; 0.370892; 0.366085; 0.375772; 0.375965; 0.371342; 
0.333828; 0.333831; 0.328747; 0.338037; 0.33824; 0.334306; 
0.298223; 0.298226; 0.292873; 0.301624; 0.301838; 0.298726; 
0.264345; 0.264348; 0.258732; 0.266825; 0.267049; 0.264873; 
0.232418; 0.232421; 0.226549; 0.233885; 0.234119; 0.232969; 
0.202623; 0.202626; 0.196507; 0.203003; 0.203247; 0.203197; 
0.175023; 0.175027; 0.168676; 0.174281; 0.174527; 0.175526; 
0.149662; 0.149665; 0.143097; 0.14777; 0.148006; 0.149919; 
0.126563; 0.126565; 0.119785; 0.123499; 0.123707; 0.126331; 
0.105733; 0.105735; 0.0987423; 0.101474; 0.101632; 0.104711; 
0.0871631; 0.0871637; 0.0799511; 0.0816868; 0.0817687; 0.0850042; 
0.0708206; 0.0708195; 0.0633738; 0.0641074; 0.0640853; 0.0671518; 
0.0566454; 0.0566422; 0.0489491; 0.0486861; 0.0485313; 0.0510909; 
0.0445457; 0.0445399; 0.0365881; 0.0353492; 0.0350342; 0.0367543; 
0.0343963; 0.0343847; 0.0261641; 0.0239935; 0.0234942; 0.0240692; 
0.0260569; 0.0260312; 0.01753; 0.0144957; 0.0137778; 0.0129217; 
0.0193945; 0.019343; 0.0105499; 0.00673332; 0.00575385; 0.00319191; 
0.0142825; 0.0141912; 0.00509658; 0.000587899; -0.000699991; -0.0052251; 
0.0105982; 0.0104521; 0.00104982; -0.00405635; -0.00569907; -0.0124212; 
0.00822162; 0.00800572; -0.0017057; -0.00731388; -0.00935355; -0.0184774; 
0.00703378; 0.00673387; -0.00328223; -0.00929885; -0.0117708; -0.0234727; 
0.00691499; 0.00651844; -0.00379067; -0.0101276; -0.0130604; -0.0274872; 
0.00774384; 0.00724012; -0.00334313; -0.00991779; -0.0133327; -0.0306007; 
0.00939648; 0.00877752; -0.00205314; -0.00878754; -0.012698; -0.0328915; 
0.0117463; 0.0110067; -3.49486e-005; -0.00685461; -0.0112655; -0.0344359; 
0.0146688; 0.0138029; 0.00259824; -0.00423474; -0.00914241; -0.0353071; 
0.0180436; 0.0170437; 0.00573646; -0.00103777; -0.00643296; -0.0355752; 
0.0217563; 0.0206112; 0.0092735; 0.00263228; -0.00323703; -0.0353064; 
0.0256993; 0.0243946; 0.0131079; 0.00667683; 0.000350131; -0.0345627; 
0.0297728; 0.0282905; 0.0171437; 0.0110023; 0.00423792; -0.0334026; 
0.0338855; 0.0322047; 0.0212913; 0.0155212; 0.0083404; -0.0318809; 
0.0379547; 0.0360521; 0.0254683; 0.0201528; 0.0125763; -0.0300493; 
0.041907; 0.0397571; 0.0295991; 0.0248232; 0.0168702; -0.0279562; 
0.0456774; 0.0432539; 0.033616; 0.0294654; 0.0211525; -0.0256464; 
0.0492098; 0.0464856; 0.0374587; 0.0340194; 0.0253602; -0.0231614; 
0.0524568; 0.0494046; 0.0410746; 0.0384321; 0.0294366; -0.0205391; 
0.0553787; 0.0519721; 0.0444183; 0.0426569; 0.0333314; -0.0178146; 
0.0579438; 0.0541573; 0.0474517; 0.0466536; 0.0370011; -0.0150199; 
0.0601275; 0.055937; 0.0501435; 0.0503885; 0.0404081; -0.0121841; 
0.0619108; 0.0572939; 0.0524688; 0.0538335; 0.0435209; -0.00933385; 
0.0632799; 0.0582168; 0.0544089; 0.056966; 0.0463142; -0.00649338; 
0.0642259; 0.0586997; 0.0559499; 0.0597689; 0.0487677; -0.0036845; 
0.0647448; 0.0587417; 0.0570821; 0.0622295; 0.0508665; -0.000926853; 
0.0648366; 0.0583471; 0.0578; 0.0643391; 0.0526005; 0.00176198; 
0.0645057; 0.057525; 0.0581018; 0.0660917; 0.0539628; 0.00436638; 
0.0637604; 0.056289; 0.0579893; 0.0674846; 0.0549499; 0.00687259; 
0.062613; 0.0546613; 0.0574679; 0.0685175; 0.0555614; 0.00926795; 
0.0610834; 0.0526709; 0.0565463; 0.0691928; 0.0557998; 0.0115407; 
0.059199; 0.0503522; 0.0552379; 0.0695154; 0.0556704; 0.0136799; 
0.0569922; 0.0477429; 0.0535624; 0.0694922; 0.055181; 0.0156759; 
0.0544991; 0.0448827; 0.0515453; 0.0691323; 0.0543423; 0.0175201; 
0.0517583; 0.0418127; 0.0492158; 0.0684468; 0.0531682; 0.0192049; 
0.0488092; 0.0385741; 0.0466063; 0.0674489; 0.0516772; 0.0207243; 
0.0456918; 0.0352075; 0.0437509; 0.066157; 0.0498917; 0.0220733; 
0.0424451; 0.0317526; 0.0406853; 0.0645931; 0.0478368; 0.023248; 
0.0391075; 0.0282482; 0.0374451; 0.0627824; 0.0455395; 0.0242461; 
0.0357156; 0.0247312; 0.0340663; 0.0607518; 0.0430284; 0.0250661; 
0.0323046; 0.0212374; 0.0305839; 0.0585295; 0.0403325; 0.0257076; 
0.0289079; 0.0178006; 0.0270326; 0.0561438; 0.0374814; 0.0261711; 
0.0255569; 0.0144528; 0.0234461; 0.0536234; 0.0345043; 0.0264579; 
0.0222811; 0.0112237; 0.0198571; 0.0509959; 0.0314299; 0.0265702; 
0.0191076; 0.00814105; 0.0162973; 0.0482884; 0.0282863; 0.0265111; 
0.0160614; 0.0052303; 0.0127972; 0.0455266; 0.0251006; 0.0262845; 
0.013165; 0.00251436; 0.00938612; 0.0427349; 0.0218992; 0.0258952; 
0.0104385; 1.36012e-005; 0.00609174; 0.039936; 0.0187074; 0.0253489; 
0.00789949; -0.0022543; 0.00294039; 0.037151; 0.0155496; 0.0246524; 
0.00556294; -0.00427454; -4.32852e-005; 0.0343996; 0.0124488; 0.0238134; 
0.0034412; -0.00603529; -0.00283642; 0.0316995; 0.00942731; 0.0228406; 
0.00154388; -0.0075291; -0.00541807; 0.0290672; 0.00650582; 0.0217433; 
-0.000122171; -0.00875268; -0.00776942; 0.026517; 0.00370388; 0.0205314; 
-0.00155291; -0.00970668; -0.00987592; 0.0240622; 0.00103964; 0.0192154; 
-0.00274711; -0.0103954; -0.0117271; 0.0217139; -0.00147023; 0.0178061; 
-0.00370641; -0.0108266; -0.0133165; 0.0194818; -0.00381058; 0.0163145; 
-0.00443555; -0.0110111; -0.0146412; 0.0173742; -0.00596793; 0.0147519; 
-0.00494216; -0.0109627; -0.0157016; 0.0153975; -0.00793124; 0.0131295; 
-0.00523646; -0.0106973; -0.0165015; 0.0135568; -0.00969247; 0.0114584; 
-0.00533106; -0.010233; -0.0170475; 0.0118557; -0.0112463; 0.00974998; 
-0.00524066; -0.00959007; -0.0173486; 0.0102962; -0.0125902; 0.0080153; 
-0.00498175; -0.00879048; -0.0174163; 0.00887915; -0.0137238; 0.00626551; 
-0.0045723; -0.0078576; -0.0172635; 0.00760396; -0.0146491; 0.00451164; 
-0.00403122; -0.00681534; -0.016905; 0.00646885; -0.0153703; 0.00276464; 
-0.00337779; -0.00568785; -0.0163572; 0.00547088; -0.0158933; 0.00103526; 
-0.00263137; -0.00449908; -0.0156375; 0.00460604; -0.0162255; -0.000665897; 
-0.00181113; -0.00327251; -0.0147645; 0.00386935; -0.0163758; -0.00232847; 
-0.000935949; -0.00203089; -0.0137572; 0.00325493; -0.0163541; -0.00394236; 
-2.41804e-005; -0.000795912; -0.0126351; 0.00275617; -0.0161712; -0.00549818; 
0.00090646; 0.00041194; -0.0114172; 0.00236577; -0.015839; -0.0069879; 
0.00183905; 0.00157363; -0.0101228; 0.00207589; -0.01537; -0.00840472; 
0.00275759; 0.00267174; -0.00877029; 0.00187825; -0.0147771; -0.00974302; 
0.00364742; 0.00369074; -0.00737777; 0.00176425; -0.0140738; -0.0109983; 
0.00449531; 0.00461736; -0.00596268; 0.00172508; -0.0132738; -0.0121671; 
0.00528957; 0.00544066; -0.00454169; 0.00175185; -0.0123906; -0.0132467; 
0.00602005; 0.006152; -0.00313068; 0.00183566; -0.0114376; -0.0142357; 
0.00667816; 0.00674507; -0.0017446; 0.00196773; -0.010428; -0.0151329; 
0.00725693; 0.00721581; -0.000397459; 0.0021396; -0.00937461; -0.0159384; 
0.0077509; 0.00756236; 0.00089781; 0.00234338; -0.00828966; -0.0166525; 
0.00815617; 0.0077849; 0.00212937; 0.00257171; -0.00718498; -0.0172764; 
0.00847026; 0.00788562; 0.00328653; 0.00281779; -0.00607179; -0.0178115; 
0.00869213; 0.00786843; 0.00435985; 0.00307534; -0.00496074; -0.0182597; 
0.00882199; 0.00773883; 0.00534113; 0.00333863; -0.00386182; -0.0186235; 
0.00886121; 0.00750383; 0.0062235; 0.00360246; -0.00278434; -0.0189053; 
0.00881229; 0.00717179; 0.00700141; 0.00386212; -0.00173693; -0.0191081; 
0.00867876; 0.0067524; 0.00767066; 0.00411343; -0.000727477; -0.0192352; 
0.00846507; 0.00625642; 0.00822836; 0.00435268; 0.000236893; -0.0192898; 
0.0081768; 0.00569531; 0.00867291; 0.00457663; 0.00114981; -0.0192755; 
0.00782066; 0.00508098; 0.00900399; 0.00478252; 0.00200567; -0.019196; 
0.00740426; 0.00442557; 0.00922246; 0.00496799; 0.00279965; -0.0190552; 
0.00693589; 0.00374127; 0.00933027; 0.00513112; 0.00352765; -0.0188568; 
0.00642427; 0.00304009; 0.00933036; 0.00527036; 0.00418631; -0.018605; 
0.00587839; 0.0023337; 0.00922665; 0.00538455; 0.00477301; -0.0183038; 
0.00530733; 0.00163331; 0.00902393; 0.00547286; 0.00528585; -0.0179571; 
0.00472009; 0.000949504; 0.00872785; 0.00553479; 0.00572369; -0.0175691; 
0.00412545; 0.000292106; 0.00834522; 0.00557017; 0.00608605; -0.0171438; 
0.0035319; -0.000329909; 0.00788388; 0.00557907; 0.00637315; -0.0166851; 
0.00294745; -0.00090852; 0.0073524; 0.00556187; 0.00658586; -0.0161967; 
0.00237958; -0.00143674; 0.00675999; 0.00551914; 0.00672564; -0.0156826; 
0.00183515; -0.00190873; 0.00611626; 0.00545169; 0.00679451; -0.0151463; 
0.00132032; -0.00231988; 0.00543103; 0.00536062; 0.00679496; -0.0145913; 
0.000840495; -0.00266684; 0.00471429; 0.0052473; 0.00672997; -0.014021; 
0.000400267; -0.00294745; 0.00397597; 0.00511337; 0.00660297; -0.0134386; 
3.40163e-006; -0.00316078; 0.0032259; 0.00496066; 0.00641774; -0.0128471; 
-0.000347188; -0.003307; 0.00247367; 0.00479116; 0.00617862; -0.0122495; 
-0.000649448; -0.00338738; 0.00172855; 0.00460696; 0.00589033; -0.0116484; 
-0.000902176; -0.00340418; 0.000999371; 0.00441025; 0.00555796; -0.0110465; 
-0.00110498; -0.00336058; 0.000294457; 0.00420324; 0.00518683; -0.0104461; 
-0.00125826; -0.00326053; -0.000378459; 0.00398816; 0.00478243; -0.00984947; 
-0.00136315; -0.00310873; -0.00101231; 0.00376719; 0.00435036; -0.00925867; 
-0.00142145; -0.0029105; -0.00160074; 0.00354249; 0.00389624; -0.00867559; 
-0.00143562; -0.00267168; -0.00213833; 0.00331611; 0.00342566; -0.00810197; 
-0.00140866; -0.00239848; -0.00262067; 0.00309001; 0.0029441; -0.00753938; 
-0.00134403; -0.00209733; -0.00304438; 0.00286603; 0.00245695; -0.00698926; 
-0.00124563; -0.00177479; -0.00340709; 0.00264589; 0.00196938; -0.00645288; 
-0.00111757; -0.00143742; -0.00370737; 0.00243114; 0.00148637; -0.00593137; 
-0.000964048; -0.00109167; -0.00394473; 0.00222321; 0.0010126; -0.00542573; 
-0.000789354; -0.000743804; -0.00411956; 0.00202334; 0.000552485; -0.00493682; 
-0.000597763; -0.000399792; -0.00423305; 0.00183262; 0.000110106; -0.0044654; 
-0.00039351; -6.52395e-005; -0.00428712; 0.00165198; -0.000310815; -0.00401206; 
-0.000180742; 0.000254684; -0.00428436; 0.00148216; -0.000706929; -0.00357732; 
3.6528e-005; 0.000555307; -0.00422796; 0.00132375; -0.00107528; -0.00316158; 
0.000254456; 0.000832501; -0.00412161; 0.00117719; -0.00141341; -0.00276512; 
0.000469407; 0.00108275; -0.00396944; 0.00104275; -0.00171935; -0.00238813; 
0.000677993; 0.00130318; -0.00377586; 0.00092056; -0.00199163; -0.00203072; 
0.000877137; 0.00149156; -0.00354548; 0.000810606; -0.00222925; -0.0016929; 
0.00106409; 0.00164633; -0.00328305; 0.000712751; -0.00243168; -0.00137462; 
0.00123646; 0.00176656; -0.00299338; 0.000626737; -0.00259878; -0.00107572; 
0.00139219; 0.00185194; -0.0026813; 0.0005522; -0.00273085; -0.000796002; 
0.0015296; 0.00190278; -0.00235161; 0.00048868; -0.00282854; -0.000535198; 
0.00164736; 0.00191994; -0.00200903; 0.000435634; -0.00289283; -0.000292975; 
0.0017445; 0.00190479; -0.00165815; 0.00039245; -0.00292501; -6.89524e-005; 
0.00182041; 0.00185917; -0.00130339; 0.000358455; -0.00292662; 0.0001373; 
0.00187479; 0.00178535; -0.000948995; 0.000332931; -0.00289944; 0.000326254; 
0.00190767; 0.00168594; -0.000598972; 0.000315128; -0.00284546; 0.00049842; 
0.00191937; 0.00156388; -0.000257072; 0.000304268; -0.00276682; 0.000654274; 
0.00191051; 0.00142234; 7.32355e-005; 0.000299567; -0.00266575; 0.000794243; 
0.00188193; 0.00126468; 0.000388781; 0.000300233; -0.00254458; 0.000918715; 
0.00183471; 0.00109435; 0.000686715; 0.000305488; -0.00240565; 0.00102805; 
0.0017702; 0.00091481; 0.000964509; 0.000314566; -0.00225133; 0.00112262; 
0.00168995; 0.000729542; 0.00121993; 0.00032673; -0.002084; 0.00120275; 
0.00159576; 0.000541926; 0.00145106; 0.000341297; -0.00190598; 0.00126883; 
0.00148958; 0.000355217; 0.00165629; 0.000357635; -0.00171957; 0.0013212; 
0.00137347; 0.000172495; 0.00183437; 0.000375166; -0.001527; 0.00136028; 
0.00124955; -3.38008e-006; 0.00198435; 0.00039336; -0.00133042; 0.00138647; 
0.00111998; -0.000169804; 0.00210565; 0.000411741; -0.0011319; 0.00140021; 
0.000986917; -0.000324458; 0.00219799; 0.000429876; -0.000933375; 0.00140197; 
0.000852449; -0.000465333; 0.00226144; 0.000447384; -0.000736703; 0.00139225; 
0.000718594; -0.000590758; 0.00229635; 0.000463927; -0.000543597; 0.00137157; 
0.000587255; -0.000699411; 0.00230338; 0.000479211; -0.000355644; 0.0013405; 
0.0004602; -0.00079032; 0.00228347; 0.000492985; -0.000174292; 0.00129963; 
0.000339032; -0.000862865; 0.0022378; 0.000505038; -8.48431e-007; 0.00124958; 
0.000225178; -0.000916769; 0.0021678; 0.000515198; 0.000163526; 0.001191; 
0.000119872; -0.000952082; 0.00207518; 0.000523328; 0.00031782; 0.00112458; 
2.41414e-005; -0.000969167; 0.00196189; 0.000529328; 0.000461167; 0.00105102; 
-6.11942e-005; -0.000968678; 0.00183011; 0.000533126; 0.000592825; 0.000971034; 
-0.000135529; -0.000951528; 0.00168219; 0.000534685; 0.000712175; 0.000885373; 
-0.00019847; -0.000918867; 0.00152061; 0.000533991; 0.000818725; 0.000794785; 
-0.000249821; -0.000872048; 0.00134793; 0.00053106; 0.00091211; 0.000700028; 
