Plaus_1; Plaus_2; Plaus_3; Belief_1; Belief_2; Belief_3
0; 0; 0; 0; 0; 0; 
0; 0; 0; 0; 0; 0; 
0; 0; 0; 0; 0; 0; 
0.000439584; 0.000439584; 0.000439584; 0.000439584; 0.000439584; 0.000439584; 
0.0016968; 0.0016968; 0.0016968; 0.0016968; 0.0016968; 0.0016968; 
0.00409306; 0.00409306; 0.00409306; 0.00409306; 0.00409306; 0.00409306; 
0.00789697; 0.00789697; 0.00789754; 0.00789584; 0.00789581; 0.00789691; 
0.0133281; 0.0133281; 0.0133314; 0.0133218; 0.0133216; 0.0133278; 
0.0205608; 0.0205608; 0.0205716; 0.0205401; 0.0205395; 0.0205597; 
0.0297273; 0.0297273; 0.0297544; 0.029676; 0.0296745; 0.0297245; 
0.0409211; 0.0409211; 0.0409786; 0.0408143; 0.0408112; 0.0409152; 
0.0541997; 0.0541997; 0.0543076; 0.0540034; 0.0539978; 0.0541888; 
0.0695875; 0.0695873; 0.0697719; 0.0692588; 0.0692495; 0.069569; 
0.0870774; 0.0870773; 0.0873704; 0.0865668; 0.0865526; 0.0870483; 
0.106634; 0.106634; 0.107071; 0.105888; 0.105868; 0.106591; 
0.128193; 0.128193; 0.128811; 0.127162; 0.127134; 0.128133; 
0.151667; 0.151667; 0.152494; 0.150308; 0.150271; 0.151587; 
0.176966; 0.176965; 0.178025; 0.175245; 0.175198; 0.176864; 
0.204004; 0.204003; 0.205316; 0.201892; 0.201836; 0.203878; 
0.232698; 0.232698; 0.234278; 0.230175; 0.230108; 0.232548; 
0.26297; 0.262969; 0.264829; 0.260017; 0.259939; 0.262793; 
0.294742; 0.294741; 0.29689; 0.291348; 0.291258; 0.294538; 
0.327941; 0.32794; 0.330385; 0.324097; 0.323996; 0.327709; 
0.362498; 0.362496; 0.36524; 0.358199; 0.358086; 0.362238; 
0.398345; 0.398343; 0.401388; 0.393589; 0.393464; 0.398057; 
0.435417; 0.435415; 0.438761; 0.430205; 0.430068; 0.435101; 
0.473654; 0.473652; 0.477297; 0.467987; 0.46784; 0.47331; 
0.512703; 0.5127; 0.516643; 0.50688; 0.506721; 0.512331; 
0.551963; 0.55196; 0.556196; 0.546242; 0.546072; 0.551564; 
0.590914; 0.590912; 0.595436; 0.585518; 0.585336; 0.590488; 
0.629111; 0.629108; 0.633915; 0.624228; 0.624035; 0.628658; 
0.666172; 0.666169; 0.671253; 0.661963; 0.66176; 0.665694; 
0.701777; 0.701774; 0.707127; 0.698376; 0.698162; 0.701274; 
0.735655; 0.735652; 0.741268; 0.733175; 0.732951; 0.735127; 
0.767582; 0.767579; 0.773451; 0.766115; 0.765881; 0.767031; 
0.797377; 0.797374; 0.803493; 0.796997; 0.796753; 0.796803; 
0.824977; 0.824973; 0.831324; 0.825719; 0.825473; 0.824474; 
0.850338; 0.850335; 0.856903; 0.85223; 0.851994; 0.850081; 
0.873437; 0.873435; 0.880215; 0.876501; 0.876293; 0.873669; 
0.894267; 0.894265; 0.901258; 0.898526; 0.898368; 0.895289; 
0.912837; 0.912836; 0.920049; 0.918313; 0.918231; 0.914996; 
0.929179; 0.92918; 0.936626; 0.935893; 0.935915; 0.932848; 
0.943355; 0.943358; 0.951051; 0.951314; 0.951469; 0.948909; 
0.955454; 0.95546; 0.963412; 0.964651; 0.964966; 0.963246; 
0.965604; 0.965615; 0.973836; 0.976006; 0.976506; 0.975931; 
0.973943; 0.973969; 0.98247; 0.985504; 0.986222; 0.987078; 
0.980605; 0.980657; 0.98945; 0.993267; 0.994246; 0.996808; 
0.985718; 0.985809; 0.994903; 0.999412; 1.0007; 1.00523; 
0.989402; 0.989548; 0.99895; 1.00406; 1.0057; 1.01242; 
0.991778; 0.991994; 1.00171; 1.00731; 1.00935; 1.01848; 
0.992966; 0.993266; 1.00328; 1.0093; 1.01177; 1.02347; 
0.993085; 0.993482; 1.00379; 1.01013; 1.01306; 1.02749; 
0.992256; 0.99276; 1.00334; 1.00992; 1.01333; 1.0306; 
0.990604; 0.991222; 1.00205; 1.00879; 1.0127; 1.03289; 
0.988254; 0.988993; 1.00003; 1.00685; 1.01127; 1.03444; 
0.985331; 0.986197; 0.997402; 1.00423; 1.00914; 1.03531; 
0.981956; 0.982956; 0.994264; 1.00104; 1.00643; 1.03558; 
0.978244; 0.979389; 0.990727; 0.997368; 1.00324; 1.03531; 
0.974301; 0.975605; 0.986892; 0.993323; 0.99965; 1.03456; 
0.970227; 0.97171; 0.982856; 0.988998; 0.995762; 1.0334; 
0.966115; 0.967795; 0.978709; 0.984479; 0.99166; 1.03188; 
0.962045; 0.963948; 0.974532; 0.979847; 0.987424; 1.03005; 
0.958093; 0.960243; 0.970401; 0.975177; 0.98313; 1.02796; 
0.954323; 0.956746; 0.966384; 0.970535; 0.978847; 1.02565; 
0.95079; 0.953514; 0.962541; 0.965981; 0.97464; 1.02316; 
0.947543; 0.950595; 0.958925; 0.961568; 0.970563; 1.02054; 
0.944621; 0.948028; 0.955582; 0.957343; 0.966669; 1.01781; 
0.942056; 0.945843; 0.952548; 0.953346; 0.962999; 1.01502; 
0.939873; 0.944063; 0.949857; 0.949611; 0.959592; 1.01218; 
0.938089; 0.942706; 0.947531; 0.946167; 0.956479; 1.00933; 
0.93672; 0.941783; 0.945591; 0.943034; 0.953686; 1.00649; 
0.935774; 0.9413; 0.94405; 0.940231; 0.951232; 1.00368; 
0.935255; 0.941258; 0.942918; 0.93777; 0.949133; 1.00093; 
0.935163; 0.941653; 0.9422; 0.935661; 0.9474; 0.998238; 
0.935494; 0.942475; 0.941898; 0.933908; 0.946037; 0.995634; 
0.93624; 0.943711; 0.942011; 0.932515; 0.94505; 0.993127; 
0.937387; 0.945339; 0.942532; 0.931483; 0.944439; 0.990732; 
0.938917; 0.947329; 0.943454; 0.930807; 0.9442; 0.988459; 
0.940801; 0.949648; 0.944762; 0.930485; 0.94433; 0.98632; 
0.943008; 0.952257; 0.946438; 0.930508; 0.944819; 0.984324; 
0.945501; 0.955117; 0.948455; 0.930868; 0.945658; 0.98248; 
0.948242; 0.958187; 0.950784; 0.931553; 0.946832; 0.980795; 
0.951191; 0.961426; 0.953394; 0.932551; 0.948323; 0.979276; 
0.954308; 0.964793; 0.956249; 0.933843; 0.950108; 0.977927; 
0.957555; 0.968247; 0.959315; 0.935407; 0.952163; 0.976752; 
0.960893; 0.971752; 0.962555; 0.937218; 0.95446; 0.975754; 
0.964284; 0.975269; 0.965934; 0.939248; 0.956972; 0.974934; 
0.967695; 0.978763; 0.969416; 0.941471; 0.959667; 0.974292; 
0.971092; 0.982199; 0.972967; 0.943856; 0.962519; 0.973829; 
0.974443; 0.985547; 0.976554; 0.946377; 0.965496; 0.973542; 
0.977719; 0.988776; 0.980143; 0.949004; 0.96857; 0.97343; 
0.980892; 0.991859; 0.983703; 0.951712; 0.971714; 0.973489; 
0.983939; 0.99477; 0.987203; 0.954473; 0.974899; 0.973715; 
0.986835; 0.997486; 0.990614; 0.957265; 0.978101; 0.974105; 
0.989561; 0.999986; 0.993908; 0.960064; 0.981293; 0.974651; 
0.992101; 1.00225; 0.99706; 0.962849; 0.98445; 0.975348; 
0.994437; 1.00427; 1.00004; 0.9656; 0.987551; 0.976187; 
0.996559; 1.00604; 1.00284; 0.9683; 0.990573; 0.977159; 
0.998456; 1.00753; 1.00542; 0.970933; 0.993494; 0.978257; 
1.00012; 1.00875; 1.00777; 0.973483; 0.996296; 0.979469; 
1.00155; 1.00971; 1.00988; 0.975938; 0.99896; 0.980785; 
1.00275; 1.0104; 1.01173; 0.978286; 1.00147; 0.982194; 
1.00371; 1.01083; 1.01332; 0.980518; 1.00381; 0.983685; 
1.00444; 1.01101; 1.01464; 0.982626; 1.00597; 0.985248; 
1.00494; 1.01096; 1.0157; 0.984602; 1.00793; 0.986871; 
