Type_1;Type_2
0.75; 0.75; 
0.75; 0.75; 
0.75; 0.75; 
0.75; 0.75; 
0.75; 0.650567; 
0.727648; 0.62383; 
0.71745; 0.608948; 
0.707133; 0.594349; 
0.696397; 0.579526; 
0.62761; 0.563355; 
0.557014; 0.544683; 
0.493933; 0.522847; 
0.454103; 0.498168; 
0.429047; 0.472206; 
0.411291; 0.447394; 
0.398559; 0.426054; 
0.389884; 0.409443; 
0.384276; 0.397542; 
0.380765; 0.389516; 
0.378591; 0.384298; 
0.377259; 0.380953; 
0.376442; 0.378838; 
0.375937; 0.377504; 
0.375621; 0.376658; 
0.37542; 0.376117; 
0.375291; 0.375767; 
0.375205; 0.375537; 
0.375148; 0.375383; 
0.375109; 0.375278; 
0.375082; 0.375206; 
0.375063; 0.375156; 
0.375049; 0.375119; 
0.375039; 0.375093; 
0.375031; 0.375074; 
0.375026; 0.37506; 
0.375021; 0.375049; 
0.375018; 0.37504; 
0.375015; 0.375034; 
0.375013; 0.375029; 
0.375011; 0.375025; 
0.37501; 0.375021; 
0.375009; 0.375019; 
0.375008; 0.375017; 
0.375007; 0.375015; 
0.375007; 0.375013; 
0.375006; 0.375012; 
0.375006; 0.375011; 
0.375005; 0.37501; 
0.351376; 0.356085; 
0.340382; 0.336422; 
0.313131; 0.319835; 
0.283358; 0.305303; 
0.256754; 0.292106; 
0.231714; 0.279699; 
0.206894; 0.267621; 
0.18095; 0.255446; 
0.152275; 0.242724; 
0.118594; 0.228931; 
0.0761913; 0.213386; 
0.0548621; 0.195127; 
0.0353876; 0.172671; 
0.00846694; 0.143541; 
2.01028e-005; 0.103176; 
2.95905e-005; 0.0937714; 
4.5507e-005; 0.0937776; 
7.25029e-005; 0.0937871; 
0.000118493; 0.0938019; 
-0.0326057; 0.0832591; 
-0.0470401; 0.0402767; 
-0.0630451; 0.0161113; 
-0.0790976; -0.0104793; 
-0.0938635; -0.0367781; 
-0.1471; -0.0606321; 
-0.191416; -0.0809876; 
-0.237492; -0.0977748; 
-0.27607; -0.1115; 
-0.303562; -0.122861; 
-0.318121; -0.132467; 
-0.313144; -0.140641; 
-0.301951; -0.147265; 
-0.289014; -0.151673; 
-0.294205; -0.176391; 
-0.29475; -0.371645; 
-0.286792; -0.406217; 
-0.264037; -0.415323; 
-0.215717; -0.41843; 
-0.152448; -0.416512; 
-0.0792603; -0.411134; 
-0.110129; -0.404598; 
-0.107622; -0.397261; 
-0.10384; -0.390647; 
-0.0300403; -0.384935; 
-0.0294143; -0.366326; 
-0.0246437; -0.339071; 
-0.0191041; -0.296844; 
-0.00666559; -0.0395562; 
0.0450827; -0.0173643; 
0.0502892; -0.00190928; 
0.054362; 0.0089541; 
0.0573219; 0.0172109; 
0.0593724; 0.0236623; 
0.0611046; 0.0282015; 
0.066036; 0.0381367; 
0.0700833; 0.0486784; 
0.0733847; 0.0593124; 
0.0760388; 0.0702177; 
0.0781304; 0.0815168; 
0.0797311; 0.0932912; 
0.080901; 0.105589; 
0.0816892; 0.118428; 
0.0821342; 0.131795; 
0.0822654; 0.14565; 
0.0821035; 0.159921; 
0.0816618; 0.219761; 
0.0794055; 0.21408; 
0.075585; 0.207777; 
0.0712298; 0.206475; 
