Type_1;Type_2
0; 0; 
0; 0; 
0.00017352; 0.00017352; 
0.000669789; 0.000669789; 
0.00161568; 0.00161568; 
0.00311818; 0.00311818; 
0.00526663; 0.00524362; 
0.00812954; 0.00803972; 
0.0117599; 0.0115407; 
0.0161973; 0.0157693; 
0.021469; 0.0207377; 
0.0275786; 0.0264491; 
0.0345085; 0.0328983; 
0.0422248; 0.040072; 
0.0506852; 0.0479493; 
0.0598436; 0.0565027; 
0.0696527; 0.0656994; 
0.0800657; 0.075503; 
0.0910372; 0.0858754; 
0.102524; 0.0967778; 
0.114485; 0.108173; 
0.126883; 0.120024; 
0.139683; 0.132297; 
0.152852; 0.14496; 
0.16636; 0.157983; 
0.180181; 0.171339; 
0.194288; 0.185002; 
0.208659; 0.198948; 
0.223272; 0.213155; 
0.238107; 0.227604; 
0.253148; 0.242275; 
0.268376; 0.257151; 
0.283777; 0.272217; 
0.299337; 0.287459; 
0.315044; 0.302862; 
0.330884; 0.318414; 
0.346849; 0.334104; 
0.362927; 0.349921; 
0.379111; 0.365857; 
0.39539; 0.381901; 
0.411758; 0.398045; 
0.428208; 0.414283; 
0.444733; 0.430607; 
0.461327; 0.44701; 
0.477984; 0.463487; 
0.494701; 0.480032; 
0.511471; 0.496639; 
0.528291; 0.513306; 
0.545157; 0.530026; 
0.562066; 0.546796; 
0.579007; 0.563608; 
0.595972; 0.58045; 
0.612945; 0.597308; 
0.629906; 0.614167; 
0.646831; 0.63101; 
0.663695; 0.64782; 
0.680469; 0.66458; 
0.697125; 0.681271; 
0.713631; 0.697878; 
0.729953; 0.714381; 
0.746052; 0.730762; 
0.761893; 0.747001; 
0.777439; 0.763078; 
0.792656; 0.778967; 
0.807514; 0.79464; 
0.821988; 0.810069; 
0.83606; 0.825234; 
0.849714; 0.840117; 
0.862941; 0.854704; 
0.875727; 0.868984; 
0.888057; 0.882936; 
0.89992; 0.896541; 
0.911301; 0.909776; 
0.92219; 0.922617; 
0.932567; 0.935043; 
0.942405; 0.947028; 
0.951677; 0.958552; 
0.960349; 0.969596; 
0.968392; 0.980142; 
0.975779; 0.990176; 
0.982491; 0.999687; 
0.988519; 1.00867; 
0.99386; 1.0171; 
0.998515; 1.025; 
1.00249; 1.03229; 
1.00579; 1.03894; 
1.00842; 1.04491; 
1.01043; 1.05016; 
1.01186; 1.05467; 
1.01275; 1.05843; 
1.01315; 1.06142; 
1.0131; 1.06365; 
1.01265; 1.06512; 
1.01184; 1.06584; 
1.01071; 1.06582; 
1.00933; 1.06509; 
1.00771; 1.06369; 
1.0059; 1.06169; 
1.00396; 1.0592; 
1.0019; 1.05629; 
0.999788; 1.05304; 
0.99764; 1.04951; 
