
 Generation    Best        Average       Standard 
 number        value       fitness       deviation 
    1       4.164005212   16.665873681   12.170633538 
    2       4.164005212   13.657727322   11.476419129 
    3       0.718123826   10.721267790   8.968722560 
    4       0.716901379   8.289973579   8.036649717 
    5       0.185297109   9.313701399   10.068073955 
    6       0.116467810   11.168914473   13.228523535 
    7       0.116467810   11.124407876   13.107159166 
    8       0.116467810   7.571175477   7.392060873 
    9       0.116388764   8.954515272   12.338946449 
   10       0.116388764   6.714593541   11.010200823 
   11       0.111769331   8.130465636   13.947652620 
   12       0.111409981   6.441499140   6.425651115 
   13       0.016289600   5.996796276   5.599668908 
   14       0.016289600   4.460272700   5.459378509 
   15       0.016289600   6.179208104   11.049810482 
   16       0.016289600   9.493261730   12.868929596 
   17       0.016289600   6.948906586   6.366841071 
   18       0.016289600   7.597843759   7.040257051 
   19       0.016289600   7.223218031   12.978759554 
   20       0.016289600   6.443151054   6.665546937 
   21       0.016289600   6.427455161   8.877810108 
   22       0.015787570   7.166295759   12.507348784 
   23       0.008590205   7.468258508   10.566173921 
   24       0.008590205   9.605963544   12.911895033 
   25       0.008590205   7.742962956   9.812880707 
   26       0.008590205   5.417288844   7.388798625 
   27       0.008419699   5.106670405   8.312093255 
   28       0.008419699   5.576849214   6.238854333 
   29       0.004310593   6.927368954   6.118107075 
   30       0.004310593   8.951343610   10.495394293 
   31       0.004310593   7.428474329   14.668431350 
   32       0.004310593   4.348063040   7.157419119 
   33       0.004310593   5.373212678   8.301131476 
   34       0.004310593   8.622064203   14.742863624 
   35       0.004310593   5.047647999   8.281267613 
   36       0.004310593   10.509597506   15.959481975 
   37       0.004310593   7.023630828   9.115741811 
   38       0.004310593   7.137209042   8.124759890 
   39       0.004276624   7.360386443   8.085779521 
   40       0.004276624   9.497984353   9.556151513 
   41       0.004276624   9.960917211   10.657444769 
   42       0.004276624   9.124430620   13.439396402 
   43       0.004276624   6.427062758   7.686257527 
   44       0.004276624   5.446395201   6.020776695 
   45       0.004276624   4.301627799   4.541624192 
   46       0.004276624   6.207497694   13.162538294 
   47       0.004276624   6.974701230   11.534509197 
   48       0.004276624   6.932480728   9.702240740 
   49       0.004276624   5.351875645   7.426946924 
   50       0.004276624   5.011098233   7.723348483 
   51       0.004276624   7.531811447   10.755059295 
   52       0.004276624   6.122081067   10.975718670 
   53       0.004276624   5.701046402   7.226668353 
   54       0.004264327   6.645078001   7.827521560 
   55       0.004264327   5.770594110   7.710834205 
   56       0.004264327   4.801044856   7.079008808 
   57       0.004264327   5.088110850   7.289753947 
   58       0.004264327   5.575849059   8.912189487 
   59       0.004264327   4.337204185   7.480988420 
   60       0.004264327   3.133918065   4.405022416 
   61       0.004264327   4.073727732   4.923632722 
   62       0.004264327   5.021992664   7.806422714 
   63       0.004264327   4.780521290   7.099510064 
   64       0.004264327   6.081371485   7.765788383 
   65       0.004264327   8.712331373   13.234709210 
   66       0.004264327   7.811709196   12.277055691 
   67       0.004264327   8.721779915   14.435981228 
   68       0.004264327   8.567485084   13.437093121 
   69       0.004264327   11.016184113   15.885435472 
   70       0.004264327   11.235492060   13.032943037 
   71       0.004264327   12.064960414   13.885551611 
   72       0.004264327   9.745095959   14.800556995 
   73       0.004264327   6.196047894   8.838023609 
   74       0.004264327   5.903422646   10.885012486 
   75       0.004264327   5.738235264   7.927658116 
   76       0.004264327   5.903665840   7.649965173 
   77       0.004264327   5.852316717   9.895841175 
   78       0.004264327   4.502076214   5.386890625 
   79       0.004264327   4.152439041   4.764892219 
   80       0.004264327   7.276591532   12.764539568 
   81       0.004264327   8.960641896   12.758203740 
   82       0.004227192   10.269108612   15.482772613 
   83       0.004227192   5.622303028   7.578443961 
   84       0.004227192   4.337081628   4.891089130 
   85       0.004227192   5.085805414   8.381587775 
   86       0.004227192   6.409369445   7.303206879 
   87       0.004227192   5.976046482   8.390177310 
   88       0.004227192   8.112455321   9.548795204 
   89       0.004227192   7.806884344   11.028643709 
   90       0.004227192   10.758493376   13.205811873 
   91       0.004221370   10.642577144   13.386989344 
   92       0.004185416   12.628154127   16.451544175 
   93       0.004185416   12.119790077   13.635405145 
   94       0.004185416   11.185290037   10.830320776 
   95       0.004180420   7.374357626   7.822599594 
   96       0.004180420   6.901300910   7.138567893 
   97       0.004178215   8.876763563   9.028121139 
   98       0.004178215   7.326937706   8.115914888 
   99       0.004178215   7.257749779   8.577694728 
  100       0.004178215   9.683331286   12.395281720 
  101       0.004178215   9.480788437   11.705482254 
  102       0.004178215   7.057450205   8.047303120 
  103       0.004178215   6.010481283   8.111414596 
  104       0.004178215   6.864584055   8.442191456 
  105       0.004178215   8.286327114   9.890227222 
  106       0.004178215   5.394877154   8.824420571 
  107       0.004178215   6.740231610   13.060215786 
  108       0.004177186   6.832860809   11.702132446 
  109       0.004177186   7.689258410   13.160737943 
  110       0.004169734   7.013463068   12.076028387 
  111       0.004169734   5.548254232   9.810127766 
  112       0.004169734   5.630447877   6.102600908 
  113       0.004169734   4.064684772   5.044359593 
  114       0.002515286   5.302233304   7.146862602 
  115       0.002515286   5.020277934   6.861209345 
  116       0.002515286   6.135202178   9.145497669 
  117       0.002433400   6.728190852   11.747035777 
  118       0.002433400   7.371732181   10.555018182 
  119       0.002433400   8.666524310   13.867996775 
  120       0.002433400   5.694575116   11.893064455 
  121       0.002433400   6.215494883   9.543702885 
  122       0.002433400   4.248506083   7.367132497 
  123       0.002433400   4.455807553   6.567218562 
  124       0.002433400   6.533079728   7.788089592 
  125       0.002433400   5.368298429   8.323448508 
  126       0.002433400   8.523490892   15.371230383 
  127       0.002433400   7.028979336   11.552196518 
