Type_1;Type_2
1; 1; 
1; 1; 
0.999826; 0.999826; 
0.99933; 0.99933; 
0.998384; 0.998384; 
0.996882; 0.996882; 
0.994733; 0.994756; 
0.99187; 0.99196; 
0.98824; 0.988459; 
0.983803; 0.984231; 
0.978531; 0.979262; 
0.972421; 0.973551; 
0.965492; 0.967102; 
0.957775; 0.959928; 
0.949315; 0.952051; 
0.940156; 0.943497; 
0.930347; 0.934301; 
0.919934; 0.924497; 
0.908963; 0.914125; 
0.897476; 0.903222; 
0.885515; 0.891827; 
0.873117; 0.879976; 
0.860317; 0.867703; 
0.847148; 0.85504; 
0.83364; 0.842017; 
0.819819; 0.828661; 
0.805712; 0.814998; 
0.791341; 0.801052; 
0.776728; 0.786845; 
0.761893; 0.772396; 
0.746852; 0.757725; 
0.731624; 0.742849; 
0.716223; 0.727783; 
0.700663; 0.712541; 
0.684956; 0.697138; 
0.669116; 0.681586; 
0.653151; 0.665896; 
0.637073; 0.650079; 
0.620889; 0.634143; 
0.60461; 0.618099; 
0.588242; 0.601955; 
0.571792; 0.585717; 
0.555267; 0.569393; 
0.538673; 0.55299; 
0.522016; 0.536513; 
0.505299; 0.519968; 
0.488529; 0.503361; 
0.471709; 0.486694; 
0.454843; 0.469974; 
0.437934; 0.453204; 
0.420993; 0.436392; 
0.404028; 0.41955; 
0.387055; 0.402692; 
0.370094; 0.385833; 
0.353169; 0.36899; 
0.336305; 0.35218; 
0.319531; 0.33542; 
0.302875; 0.318729; 
0.286369; 0.302122; 
0.270047; 0.285619; 
0.253948; 0.269238; 
0.238107; 0.252999; 
0.222561; 0.236922; 
0.207344; 0.221033; 
0.192486; 0.20536; 
0.178012; 0.189931; 
0.16394; 0.174766; 
0.150286; 0.159883; 
0.137059; 0.145296; 
0.124273; 0.131016; 
0.111943; 0.117064; 
0.10008; 0.103459; 
0.0886989; 0.0902244; 
0.0778098; 0.0773825; 
0.0674335; 0.0649574; 
0.0575948; 0.0529719; 
0.0483235; 0.0414477; 
0.039651; 0.030404; 
0.031608; 0.0198579; 
0.0242212; 0.00982369; 
0.0175089; 0.00031302; 
0.0114811; -0.00866511; 
0.00613994; -0.0171046; 
0.00148507; -0.0249972; 
-0.0024872; -0.0322933; 
-0.00578526; -0.038945; 
-0.00842499; -0.0449121; 
-0.0104345; -0.0501628; 
-0.011856; -0.0546737; 
-0.0127455; -0.0584295; 
-0.013147; -0.0614224; 
-0.0131013; -0.0636512; 
-0.0126467; -0.0651202; 
-0.0118352; -0.0658383; 
-0.0107137; -0.0658212; 
-0.00932517; -0.0650922; 
-0.0077092; -0.0636852; 
-0.00590392; -0.0616918; 
-0.00395512; -0.0591995; 
-0.00190414; -0.0562897; 
0.000211915; -0.053037; 
0.00236012; -0.0495094; 
0.00451147; -0.0457681; 
0.00664058; -0.0418681; 
0.00872456; -0.0378599; 
0.010743; -0.0337898; 
0.0126778; -0.0297005; 
0.0145134; -0.0256315; 
0.0162361; -0.0216192; 
0.0178346; -0.0176975; 
0.0192993; -0.0138978; 
0.0206225; -0.0102497; 
0.0217983; -0.00678103; 
0.022822; -0.00351795; 
0.0236906; -0.000485343; 
