P;PID;FLC;FLC3
1;39.2;0;0
1;1.2;3.1;1.38791
1;1.2;3.1;1.38791
0.999769;0.844487;3.1;1.38791
0.999107;0.516973;3.1;1.38791
0.997846;0.216212;3.1;1.38791
0.995842;-0.0571206;3.1;1.38791
0.992978;-0.302724;3.1;1.38791
0.989155;-0.52063;3.1;1.38791
0.984294;-0.711168;3.1;1.38791
0.978334;-0.874938;3.1;1.38791
0.971226;-1.01277;3.1;1.38791
0.962938;-1.1257;3.1;1.38791
0.953447;-1.21494;3.1;1.38791
0.942743;-1.28183;3.1;1.38791
0.930825;-1.32784;2.7021;1.38791
0.917698;-1.3545;1.80818;1.38791
0.903378;-1.36343;0.983109;1.38791
0.887886;-1.35627;-0.644308;1.38791
0.871249;-1.33468;-3.1;1.38791
0.853499;-1.30031;-3.1;1.38791
0.834674;-1.2548;-3.1;1.38791
0.814815;-1.19974;-3.1;1.38791
0.793967;-1.13667;-3.1;1.38791
0.772177;-1.06707;-3.1;0.419248
0.749496;-0.992352;-3.1;-0.558752
0.725978;-0.913839;-3.1;-0.848553
0.701675;-0.832766;-2.06651;-0.931433
0.676646;-0.750279;-1.28128;-0.975849
0.650946;-0.667423;-1.03265;-1.00319
0.624636;-0.585149;-0.826774;-1.02067
0.597774;-0.504304;-0.593012;-1.03369
0.57042;-0.42564;-0.516667;-1.03356
0.542634;-0.349811;-0.516667;-1.03341
0.514476;-0.277373;-0.463237;-0.935725
0.486007;-0.208795;-0.304879;-0.79441
0.457285;-0.144453;-0.266634;-0.728858
0.42837;-0.0846437;-0.220908;-0.62971
0.39932;-0.0295823;-0.168797;-0.504472
0.370193;0.0205877;-0.112741;-0.377927
0.341046;0.0657911;-0.0556154;-0.253213
0.311935;0.106014;-0.000277642;-0.143838
0.282914;0.1413;0.0596446;-0.0820078
0.254037;0.17174;0.116145;-0.0626296
0.225355;0.197471;0.16953;-0.0436233
0.196919;0.218668;0.218176;-0.0250809
0.168778;0.235539;0.261173;-0.00792513
0.140979;0.248319;0.298179;0.00742092
0.113568;0.257263;0.329269;0.021177
0.0865892;0.262646;0.354783;0.0343265
0.0600841;0.264754;0.375207;0.0475647
0.0340931;0.26388;0.391085;0.0600637
0.00865462;0.260323;0.402961;0.0717364
-0.0161949;0.25438;0.411345;0.0822692
-0.0404211;0.246348;0.416691;0.0914229
-0.0639915;0.236515;0.419398;0.0995638
-0.0868757;0.225162;0.418511;0.106064
-0.109045;0.21256;0.410275;0.111371
-0.130474;0.198966;0.399032;0.115378
-0.151137;0.184623;0.384466;0.117946
-0.171012;0.169759;0.366206;0.11946
-0.19008;0.154585;0.343783;0.119995
-0.208322;0.139296;0.316636;0.119525
-0.225722;0.124067;0.284103;0.118111
-0.242266;0.109057;0.245436;0.115779
-0.257942;0.0944073;0.204509;0.11267
-0.272739;0.0802404;0.170424;0.108899
-0.28665;0.0666621;0.141137;0.104543
-0.299668;0.0537616;0.115871;0.099647
-0.311789;0.0416118;0.0939438;0.0942769
-0.323011;0.0302704;0.0747856;0.0886213
-0.333332;0.0197806;0.0579318;0.0827375
-0.342754;0.0101723;0.0430058;0.0766557
-0.35128;0.00146251;0.0297027;0.0704437
-0.358915;-0.00634293;0.0177763;0.0641629
-0.365663;-0.0132487;0.00702694;0.0578685
-0.371534;-0.0192689;-0.00273611;0.0516096
-0.376537;-0.0244257;-0.0121002;0.0454519
-0.380681;-0.0287488;-0.02125;0.0395896
-0.38398;-0.0322738;-0.0301807;0.0338862
-0.386447;-0.0350418;-0.0388812;0.0283688
-0.388098;-0.0370979;-0.0473326;0.0230591
-0.388947;-0.0384906;-0.0555088;0.0179747
-0.389012;-0.039271;-0.0633758;0.0131298
-0.388313;-0.0394918;-0.0708922;0.00875806
-0.386867;-0.0392065;-0.0780092;0.00467552
-0.384697;-0.0384692;-0.0846711;0.00086057
-0.381823;-0.0373334;-0.090816;-0.00270259
-0.378267;-0.0358517;-0.0963767;-0.00604829
-0.374053;-0.0340753;-0.101282;-0.00916861
-0.369205;-0.0320537;-0.10546;-0.0119428
-0.363747;-0.0298342;-0.108838;-0.0143455
-0.357705;-0.0274616;-0.111957;-0.0165042
-0.351103;-0.0249778;-0.114248;-0.0184182
-0.343969;-0.0224221;-0.115441;-0.0200894
-0.336328;-0.0198305;-0.115639;-0.021521
-0.328208;-0.0172358;-0.114932;-0.0227728
-0.319637;-0.0146679;-0.1134;-0.0237812
-0.310641;-0.0121531;-0.111112;-0.0244402
-0.301249;-0.00971471;-0.10813;-0.0249
-0.291488;-0.00737294;-0.103584;-0.0251701
-0.281386;-0.00514485;-0.0937166;-0.0252616
-0.270971;-0.00304459;-0.0830398;-0.0251863
-0.26027;-0.00108352;-0.0715989;-0.0249563
-0.249313;0.000729686;-0.059517;-0.0245841
-0.238126;0.00238881;-0.0469445;-0.0240824
-0.226736;0.00388997;-0.038533;-0.0234637
-0.215172;0.00523139;-0.0309709;-0.0219711
-0.203459;0.00641327;-0.0239735;-0.0199409
-0.191624;0.00743753;-0.0175132;-0.0179697
-0.179693;0.00830766;-0.0115591;-0.016068
-0.167693;0.00902851;-0.00608137;-0.014247
-0.155647;0.00960609;-0.00105155;-0.0125157
-0.143582;0.0100474;0.00360633;-0.0108805
-0.13152;0.0103604;0.00800822;-0.00934604
-0.119486;0.0105535;0.0121482;-0.00796519
-0.107503;0.0106357;0.0160165;-0.00841005
-0.0955926;0.0106163;0.0196032;-0.0087734
-0.0837768;0.010505;0.0228982;-0.00906172
-0.0720765;0.0103114;0.0258918;-0.00928087
-0.060512;0.010045;0.0285747;-0.00943611
-0.0491027;0.0097154;0.0309388;-0.00953222
-0.0378673;0.00933186;0.032977;-0.00957357
-0.0268238;0.00890332;0.0346839;-0.00942238
-0.0159893;0.0084384;0.0360561;-0.00865914
-0.00538019;0.00794524;0.0370924;-0.00790456
0.00498816;0.00743155;0.0416685;-0.00715881
0.0151011;0.00690449;0.0456876;-0.00642553
0.0249447;0.0063707;0.0490774;-0.00570799
0.0345062;0.00583623;0.0518289;-0.00500914
0.0437734;0.00530659;0.0539368;-0.00433157
0.0527351;0.00478668;0.0554;-0.00367758
0.0613809;0.00428085;0.0562217;-0.00304912
0.0697015;0.00379285;0.0564087;-0.00244788
0.077688;0.00332591;0.0542002;-0.00187527
0.0853329;0.00288271;0.0465094;-0.0013324
0.0926292;0.00246541;0.0383059;-0.000820156
0.0995707;0.00207569;0.0296764;-0.000339187
0.106152;0.00171478;0.0208266;0.00011012
0.11237;0.00138348;0.0149424;0.000528221
0.118219;0.00108218;0.0117618;0.000915189
0.123698;0.000810929;0.00873611;0.00127097
0.128804;0.000569451;0.00589195;0.0015957
0.133537;0.000357171;0.00323095;0.00188965
0.137895;0.00017326;0.000753417;0.00215326
0.141879;1.66697e-005;-0.0015507;0.00238712
0.145491;-0.000113841;-0.00370775;0.00259193
0.148731;-0.000219668;-0.00571409;0.00276852
0.151602;-0.000302336;-0.00756487;0.0029178
0.154108;-0.000363465;-0.00925604;0.0030408
0.156253;-0.000404747;-0.0107844;0.00313861
0.158039;-0.000427921;-0.0121475;0.0032124
0.159473;-0.000434745;-0.013344;0.00326339
0.16056;-0.000426981;-0.0143733;0.00329286
0.161306;-0.00040637;-0.0152361;0.0033021
0.161718;-0.000374619;-0.015934;0.00329245
0.161803;-0.000333385;-0.0164839;0.0033685
0.161568;-0.00028426;-0.0177678;0.0034926
0.161022;-0.000228762;-0.0188395;0.00361705
0.160172;-0.000168324;-0.0197048;0.00373703
0.159028;-0.00010429;-0.020363;0.00384851
0.1576;-3.79057e-005;-0.0208155;0.00395104
0.155895;2.96842e-005;-0.0210652;0.00403934
0.153925;9.74382e-005;-0.0211161;0.00411162
0.1517;0.000164419;-0.0209741;0.0041669
0.149229;0.000229796;-0.0206459;0.00371296
0.146525;0.000292838;-0.0187281;0.00321842
0.143596;0.000352919;-0.0165992;0.00274465
0.140455;0.000409508;-0.0143635;0.0023012
0.137113;0.000462169;-0.0120614;0.0019003
0.133581;0.000510558;-0.0097335;0.0015527
0.129871;0.000554411;-0.00775321;0.00133841
0.125993;0.000593547;-0.00653732;0.00116315
0.12196;0.000627855;-0.00535157;0.000993466
0.117784;0.000657294;-0.00420875;0.000830105
0.113475;0.000681882;-0.00311417;0.000673521
0.109045;0.000701693;-0.0020723;0.000524104
0.104506;0.000716848;-0.00108685;0.000382175
0.09987;0.000727512;-0.000160848;0.000247991
0.0951475;0.000733884;0.000705277;0.000121749
0.0903502;0.000736196;0.0015128;3.59002e-006
0.0854892;0.000734704;0.00225942;-0.000106433
0.0805755;0.000729682;0.00294328;-0.00020831
0.0756202;0.000721422;0.00356305;-0.00030204
0.0706338;0.000710221;0.00411785;-0.000387667
0.0656269;0.000696387;0.00460731;-0.000465273
0.0606098;0.000680226;0.00503154;-0.000534984
0.0555926;0.000662042;0.00539107;-0.000596955
0.0505852;0.000642137;0.0056869;-0.000651377
0.0455971;0.000620801;0.00592041;-0.000698469
0.0406378;0.000598317;0.00609341;-0.000738473
0.0357161;0.000574952;0.00620803;-0.000771657
0.030841;0.000550961;0.00685419;-0.000798305
0.0260209;0.000526583;0.00758338;-0.000818719
0.0212638;0.00050204;0.00820945;-0.000833217
0.0165778;0.000477535;0.00872886;-0.000834225
0.0119702;0.000453254;0.00913743;-0.000785448
0.00744832;0.000429363;0.00943196;-0.00073512
0.00301895;0.000406012;0.00961031;-0.000683705
-0.0013114;0.00038333;0.00967142;-0.000631868
-0.00553657;0.000361428;0.00940443;-0.000580194
-0.00965077;0.0003404;0.00795904;-0.000529192
-0.0136486;0.000320324;0.00644746;-0.000479297
-0.0175248;0.000301261;0.00488639;-0.00043088
-0.0212748;0.000283254;0.00331784;-0.000384245
-0.0248943;0.000266337;0.00239084;-0.000379753
-0.0283791;0.000250525;0.0018641;-0.000399583
-0.0317256;0.000235825;0.0013553;-0.000416747
-0.0349306;0.00022223;0.000870212;-0.000431395
-0.037991;0.000209725;0.000410873;-0.000443664
-0.0409044;0.000198285;-2.10067e-005;-0.000453675
-0.0436685;0.000187876;-0.000424734;-0.00046154
-0.0462814;0.00017846;-0.000799611;-0.000467362
-0.0487415;0.000169992;-0.00114458;-0.000471236
-0.0510477;0.000162421;-0.00145888;-0.00047325
-0.053199;0.000155694;-0.001742;-0.000473489
-0.0551949;0.000149755;-0.00199369;-0.000450176
-0.0570352;0.000144546;-0.00221395;-0.000422807
-0.05872;0.000140006;-0.00240301;-0.000394999
