P;PID;FLC;FLC3
1;1;1;1
1;1;1;1
1;1;1;1
0.999769;0.990931;1;1
0.999107;0.973784;0.999283;0.999679
0.997846;0.94949;0.997232;0.998761
0.995842;0.918966;0.993322;0.99701
0.992978;0.883112;0.987112;0.99423
0.989155;0.842796;0.978231;0.990254
0.984294;0.798854;0.966377;0.984946
0.978334;0.752079;0.9513;0.978196
0.971226;0.70322;0.932805;0.969916
0.962938;0.652976;0.910738;0.960036
0.953447;0.601993;0.884987;0.948507
0.942743;0.550864;0.855473;0.935293
0.930825;0.500127;0.822145;0.920372
0.917698;0.450263;0.784981;0.903733
0.903378;0.401698;0.743979;0.885376
0.887886;0.354802;0.69925;0.865309
0.871249;0.309892;0.651115;0.843548
0.853499;0.267234;0.600059;0.820115
0.834674;0.227042;0.546891;0.795036
0.814815;0.189486;0.492888;0.768344
0.793967;0.154688;0.439157;0.740074
0.772177;0.122731;0.386649;0.710264
0.749496;0.0936586;0.336175;0.678955
0.725978;0.0674788;0.288427;0.646189
0.701675;0.0441686;0.243983;0.612235
0.676646;0.0236762;0.203328;0.577556
0.650946;0.00592487;0.166857;0.542623
0.624636;-0.00918424;0.134652;0.507863
0.597774;-0.0217685;0.10658;0.473651
0.57042;-0.0319607;0.0824466;0.440317
0.542634;-0.0399066;0.0620176;0.408141
0.514476;-0.0457613;0.0450179;0.377363
0.486007;-0.0496873;0.0311759;0.348184
0.457285;-0.0518518;0.0202421;0.320766
0.42837;-0.0524242;0.0119744;0.29522
0.39932;-0.0515745;0.00611467;0.271598
0.370193;-0.049471;0.00241935;0.249919
0.341046;-0.0462787;0.000657469;0.23017
0.311935;-0.042158;0.000608339;0.212296
0.282914;-0.0372634;0.00206038;0.196215
0.254037;-0.031742;0.00481063;0.181818
0.225355;-0.0257333;0.00866501;0.168975
0.196919;-0.0193677;0.013437;0.157553
0.168778;-0.0127666;0.0189482;0.147428
0.140979;-0.00604159;0.025029;0.138479
0.113568;0.000705726;0.0315192;0.130594
0.0865892;0.00738382;0.0382689;0.123665
0.0600841;0.0139112;0.0451389;0.117594
0.0340931;0.0202166;0.0520017;0.112286
0.00865462;0.0262381;0.0587417;0.107653
-0.0161949;0.0319237;0.0652551;0.103615
-0.0404211;0.0372304;0.0714499;0.100094
-0.0639915;0.0421237;0.0772459;0.0970195
-0.0868757;0.0465777;0.082574;0.0943261
-0.109045;0.0505738;0.0873758;0.0919528
-0.130474;0.0541008;0.0916031;0.0898438
-0.151137;0.057154;0.0952173;0.0879484
-0.171012;0.0597345;0.0981903;0.0862205
-0.19008;0.0618489;0.100504;0.0846186
-0.208322;0.0635085;0.102148;0.0831058
-0.225722;0.0647289;0.103123;0.0816496
-0.242266;0.065529;0.103438;0.0802215
-0.257942;0.0659308;0.103108;0.078797
-0.272739;0.065959;0.102159;0.0773552
-0.28665;0.0656399;0.100625;0.0758789
-0.299668;0.0650015;0.0985469;0.0743541
-0.311789;0.0640727;0.0959715;0.0727699
-0.323011;0.062883;0.0929479;0.071118
-0.333332;0.0614621;0.0895265;0.0693931
-0.342754;0.0598396;0.0857579;0.0675921
-0.35128;0.0580446;0.0816918;0.0657138
-0.358915;0.0561054;0.0773764;0.0637593
-0.365663;0.0540494;0.072858;0.061731
-0.371534;0.0519028;0.0681805;0.0596331
-0.376537;0.0496903;0.0633851;0.0574707
-0.380681;0.0474353;0.0585107;0.0552502
-0.38398;0.0451593;0.0535932;0.0529788
-0.386447;0.0428825;0.048666;0.0506643
-0.388098;0.0406229;0.04376;0.0483151
-0.388947;0.0383969;0.0389038;0.0459399
-0.389012;0.0362191;0.0341237;0.0435476
-0.388313;0.0341024;0.0294442;0.0411472
-0.386867;0.0320578;0.0248874;0.0387476
-0.384697;0.0300945;0.0204738;0.0363576
-0.381823;0.0282204;0.0162221;0.0339859
-0.378267;0.0264414;0.0121491;0.0316406
-0.374053;0.0247622;0.00827005;0.0293296
-0.369205;0.0231859;0.0045984;0.0270604
-0.363747;0.0217145;0.00114609;0.0248398
-0.357705;0.0203487;-0.00207657;0.0226743
-0.351103;0.0190881;-0.00506092;0.0205699
-0.343969;0.0179312;-0.00779987;0.0185319
-0.336328;0.0168759;-0.0102878;0.0165652
-0.328208;0.0159191;-0.0125207;0.0146738
-0.319637;0.0150571;-0.014496;0.0128616
-0.310641;0.0142856;-0.0162128;0.0111314
-0.301249;0.0135999;-0.0176716;0.00948594
-0.291488;0.012995;-0.0188749;0.0079271
-0.281386;0.0124654;-0.0198261;0.00645633
-0.270971;0.0120056;-0.0205305;0.00507453
-0.26027;0.0116099;-0.0209949;0.00378208
-0.249313;0.0112726;-0.0212284;0.00257889
-0.238126;0.0109879;-0.0212427;0.00146442
-0.226736;0.0107503;-0.0210516;0.000437716
-0.215172;0.0105541;-0.0206707;-0.000502585
-0.203459;0.0103941;-0.0201174;-0.0013582
-0.191624;0.0102651;-0.0194095;-0.00213116
-0.179693;0.0101623;-0.0185648;-0.00282399
-0.167693;0.0100809;-0.0176009;-0.00343973
-0.155647;0.0100169;-0.0165352;-0.00398185
-0.143582;0.00996601;-0.0153844;-0.00445412
-0.13152;0.00992469;-0.0141648;-0.00486059
-0.119486;0.00988956;-0.0128917;-0.00520546
-0.107503;0.0098576;-0.0115798;-0.00549304
-0.0955926;0.00982613;-0.0102429;-0.00572769
-0.0837768;0.00979278;-0.00889394;-0.00591373
-0.0720765;0.00975551;-0.00754507;-0.00605504
-0.060512;0.00971258;-0.00620759;-0.0061551
-0.0491027;0.00966256;-0.0048919;-0.00621702
-0.0378673;0.00960429;-0.00360758;-0.00624366
