P;PID;FLC;FLC3
0;0;0;0
0;0;0;0
0.00023136;0.00906931;0;0
0.000893052;0.026216;0.000717216;0.000321107
0.00215424;0.0505102;0.00276846;0.00123947
0.00415752;0.0810336;0.00667814;0.00298989
0.00702181;0.116888;0.0128885;0.00577033
0.0108449;0.157204;0.0217687;0.00974613
0.0157057;0.201146;0.0336235;0.0150536
0.0216664;0.247921;0.0487;0.0218036
0.028774;0.29678;0.0671953;0.0300842
0.0370622;0.347024;0.0892618;0.0399636
0.0465527;0.398007;0.115013;0.0514926
0.0572566;0.449136;0.144527;0.0647067
0.0691754;0.499873;0.177855;0.0796279
0.0823021;0.549737;0.215019;0.0962668
0.0966221;0.598302;0.256021;0.114624
0.112114;0.645198;0.30075;0.134691
0.128751;0.690108;0.348885;0.156452
0.146501;0.732766;0.399941;0.179885
0.165326;0.772958;0.453109;0.204964
0.185185;0.810514;0.507112;0.231656
0.206033;0.845312;0.560843;0.259926
0.227823;0.877269;0.613351;0.289736
0.250504;0.906341;0.663825;0.321045
0.274022;0.932521;0.711573;0.353811
0.298325;0.955831;0.756017;0.387765
0.323354;0.976324;0.796672;0.422444
0.349054;0.994075;0.833143;0.457377
0.375364;1.00918;0.865348;0.492137
0.402226;1.02177;0.89342;0.526349
0.42958;1.03196;0.917553;0.559683
0.457366;1.03991;0.937982;0.591859
0.485524;1.04576;0.954982;0.622637
0.513993;1.04969;0.968824;0.651816
0.542715;1.05185;0.979758;0.679234
0.57163;1.05242;0.988026;0.70478
0.60068;1.05157;0.993885;0.728402
0.629807;1.04947;0.997581;0.750081
0.658954;1.04628;0.999343;0.76983
0.688065;1.04216;0.999392;0.787704
0.717086;1.03726;0.99794;0.803785
0.745963;1.03174;0.995189;0.818182
0.774645;1.02573;0.991335;0.831025
0.803081;1.01937;0.986563;0.842447
0.831222;1.01277;0.981052;0.852572
0.859021;1.00604;0.974971;0.861521
0.886432;0.999294;0.968481;0.869406
0.913411;0.992616;0.961731;0.876335
0.939916;0.986089;0.954861;0.882406
0.965907;0.979783;0.947998;0.887714
0.991345;0.973762;0.941258;0.892347
1.01619;0.968076;0.934745;0.896385
1.04042;0.96277;0.92855;0.899906
1.06399;0.957876;0.922754;0.90298
1.08688;0.953422;0.917426;0.905674
1.10905;0.949426;0.912624;0.908047
1.13047;0.945899;0.908397;0.910156
1.15114;0.942846;0.904783;0.912052
1.17101;0.940266;0.90181;0.91378
